Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
12/3/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",295,180,485,332,222,498,357,230,552,291,186,455,275,163,464,231,139,383
12/4/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",319,194,522,360,220,588,402,252,642,338,214,534,293,181,475,221,149,328
12/5/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",333,203,544,345,219,541,463,304,706,344,207,573,300,193,468,246,157,388
12/6/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",292,178,479,306,207,453,374,214,651,296,185,475,274,173,433,241,146,397
12/7/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",290,175,480,277,196,391,355,201,625,303,187,490,275,170,446,245,145,416
12/8/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",260,159,426,264,159,438,297,173,512,281,169,466,254,162,397,230,141,374
12/9/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",249,150,413,221,114,425,275,164,461,250,152,412,261,164,416,231,142,376
12/10/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",284,170,474,264,186,375,376,229,618,285,164,497,263,166,415,216,130,359
12/11/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",293,177,485,299,190,471,381,217,667,296,188,468,273,169,440,236,143,389
12/12/2018,302,"Northeastern University, 360 Huntington Ave, Boston, MA",245,"Mission Hill Main Streets, 1534 Tremont St, Roxbury Crossing, MA",306,180,519,290,204,412,402,247,652,316,179,556,285,173,467,219,127,379
